Date,Parameters,Age_Group
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
28.02.2019,"Low, Low",4
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",2
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
01.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
02.03.2019,"Low, Low",3
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",2
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
03.03.2019,"Low, High",3
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",2
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
04.03.2019,"Low, High",3
